"Name","Year","Directors","Producers","Actors"
"Dirty Dancing","1987","Emile Ardolino","Linda Gottlieb","Patrick Swayze, Jennifer Grey, Jerry Orbach, Wayne Knight, Cynthia Rhodes, Kelly Bishop, Jack Weston, Lonny Price, Max Cantor, Jane Brucker, Neal Jones, Miranda Garrison, Charles Coles, Bruce Morrow, Paula Trueman, Alvin Myerovich, Garry Goodrow, Antone Pagan, Thomas Cannold, M.R. Fletcher, Jesus Fuentes, Heather Lea Gerdes, Karen Getz, Andrew Charles Koch, D.A. Pauley, Doriana Sanchez, Jennifer Stahl, Jonathan Barnes, Dwyght Bryan, Tom Drake, John Gotz, Dwayne Malphus, Clifford Watkins, Emile Ardolino, Lori Janney, Karen Kaster"
"Set It Off","1996","F. Gary Gray","F. Gary Gray, Dale Pollock","Jada Pinkett Smith, Queen Latifah, Vivica A. Fox, Kimberly Elise, Blair Underwood, John C. McGinley, Thomas Jefferson Byrd, Dr. Dre, Anna Maria Horsford, Ella Joyce, Chaz Lamar Shepherd, Samuel Monroe Jr., Samantha MacLachlan, Vincent Baum, Van Baum"
"The Last Tycoon","1976","Elia Kazan","Sam Spiegel","Tony Curtis, Robert Mitchum, Jeanne Moreau, Donald Pleasence, Robert De Niro, Jack Nicholson, John Carradine, Peter Strauss, Theresa Russell, Dana Andrews, Ray Milland, Anjelica Huston, Ingrid Boulting, Tige Andrews, Morgan Farley, Jeff Corey, Diane Shalet, Seymour Cassel, Bonnie Bartlett, Sharon Masters, Eric Christmas, Leslie Allen, Lloyd Kino, Brendan Burns, Carrie Miller, Peggy Feury, Betsy Jones-Moreland, Patricia Singer, Pamela Guest, Don Brodie, Nicholas Cairis, Jester Hairston, Byron Morrow, Montana Smoyer, H.M. Wynant"
"New Jack City","1991","Mario Van Peebles","Doug McHenry, George Jackson","Wesley Snipes, Mario Van Peebles, Ice-T, Judd Nelson, Eek-a-Mouse, Bill Nunn, Russell Wong, Tracy Camilla Johns, Vanessa A. Williams, Bill Cobbs, Allen Payne, Michael Michele, Anthony DeSando, Chris Rock, Christopher Williams, Flavor Flav"
"Birthday Girl","2002","Jez Butterworth","Eric Abraham, Steve Butterworth, Diana Phillips","Nicole Kidman, Ben Chaplin, Vincent Cassel, Mathieu Kassovitz, Ben Miller, Stephen Mangan, Valentina Cervi, Alexander Armstrong, Kate Lynn Evans"
"Music of the Heart","1999","Wes Craven","Walter Scheuer, Allan Miller, Susan Kaplan, Marianne Maddalena","Jane Leeves, Aidan Quinn, Cloris Leachman, Meryl Streep, Gloria Estefan, Kieran Culkin, Angela Bassett, Charlie Hofheimer, Michael Angarano, Henry Dinhofer, Josh Pais"
"The Accused","1988","Jonathan Kaplan","Stanley R. Jaffe, Sherry Lansing","Jodie Foster, Kelly McGillis, Bernie Coulson, Leo Rossi, Ann Hearn, Carmen Argenziano, Steve Antin, Tom O'Brien, Peter Van Norden, Terry David Mulligan, Woody Brown, Scott Paulin, Kim Kondrashoff, Stephen E. Miller, Tom Heaton, Andrew Kavadas, Tom McBeath, Rose Weaver, Linda Darlow, Veena Sood, Allan Lysell, Antony Holland, Kevin McNulty, Jerry Wasserman, Barney O'Sullivan, Christianne Hirt, Frances Flanagan, Marsha Andrews, Mike Winlaw, Pamela Martin, Walter Marsh, Deryl Hayes, E. Andrea Klann, Bryan Johnson, Dana Still, Denalda Williams, Babz Chula, Peter Bibby, Rebecca Toolan, Stephen Dimopoulos, Laurie O'Byrne, Freda Perry, John H. Cox, Jim Bedard, Kirsten Keane, David Sheridan, Garry Chalk, Garwin Sanford, Gloria Lee, Stephen Brent Lambert, Matt LaFleur, Michele Goodger, Scott Walden, David Paul Hewitt White, Jim Browning"
"The Entity","1982","Sidney J. Furie","Harold Schneider","Barbara Hershey, Ron Silver, David Labiosa, Margaret Blye, George Coe, Alex Rocco, Jacqueline Brookes, Natasha Ryan, Richard Brestoff, Raymond Singer, Paula Victor, Mark Weiner, Allan Rich, Melanie Gaffin, Michael Alldredge, Tom Stern, Sully Boyar"
"Marked Woman","1937","Lloyd Bacon, Michael Curtiz","","Bette Davis, Humphrey Bogart, Lola Lane, Isabel Jewell, Mayo Methot, Jane Bryan, Eduardo Ciannelli, Ben Welden, John Litel, Allen Jenkins, Henry O'Neill, Damian O'Flynn"
"Manhattan Melodrama","1934","W. S. Van Dyke","David O. Selznick","Clark Gable, William Powell, Myrna Loy, Nat Pendleton, Muriel Evans, Isabel Jewell, Leo Carrillo, George Sidney, Noel Madison, Thomas E. Jackson, Isabelle Keith, Frank Conroy"
"Dead Presidents","1995","Allen Hughes, Albert Hughes","Darryl Porter, Albert Hughes, Allen Hughes, Michael Bennett","Larenz Tate, Keith David, Chris Tucker, N'Bushe Wright, Jenifer Lewis, Freddy Rodriguez, Clifton Powell, James Pickens Jr., Martin Sheen, Clifton Collins Jr., Rose Jackson, Alvaleta Guess, Elizabeth Rodriguez, Terrence Howard, Ryan Williams, Larry McCoy, Rodney Winfield, Cheryl Freeman, Kirk Jones, Bokeem Woodbine, David Barry Gray, Michael Imperioli, Jaimz Woolvett, Quynh Phann, Jean-Claude La Marre, Dan Kruse, Bob Smith, Bernard Telsey, Rik Colitti, Heather B. Gardner, Carlton Wilborn, Frank Albanese, Monti Sharp, Tony Sirico, Robert LuPone, Joëlle Hernandez, Jordan Hernandez, Tim Zay, Charles E. Lesene, Cuc Dinh, Yen Chin Grow, Chad Bonsack, Michael Carrara, Seymour Cassel, Brian Donahue, Collin Fowler, Johnny Gray, Rich Keen, Isaiah Washington"
"A Walk on the Moon","1999","Tony Goldwyn","Dustin Hoffman, Murray Schisgal, Tony Goldwyn","Diane Lane, Viggo Mortensen, Liev Schreiber, Anna Paquin, Tovah Feldshuh, Stewart Bick, Jess Platt, Mahée Paiement, Star Jasper, Ellen David, Lisa Bronwyn Moore, Victoria Barkoff, Tamar Kozlov, Lisa Jakub, Julie Kavner"
"Beloved","1998","Jonathan Demme","Oprah Winfrey, Jonathan Demme, Gary Goetzman, Edward Saxon, Kate Forte","Oprah Winfrey, Danny Glover, Thandie Newton, Kimberly Elise, Lisa Gay Hamilton, Irma P. Hall, Albert Hall, Carol Jean Lewis, Kessia Embry, Beah Richards, Jude Ciccolella, Anthony Chisholm, Dorothy Love Coates, Jane White, Yada Beener, Emil Pinnock, Calen Johnson, George E. Ray, Wes Bentley, Dashiell Eaves, Tyler Hinson, Brian Hooks, Angie Utt, Hill Harper, Jim Roche, Vertamae Grosvenor, Ramona Demme, Brooklyn Demme, Nora Marlowe, Frederick Strother, Lillian Smith, Aliya Robinson, Joe Toutebon, Brittany Hawkins, Alerte Belance, Ayoka Dorsey, Ashleigh Watson, Dajon Matthews-Roach, Norris Wiggins Jr., Harry Northup, Tracey Walter, Terel Gibson, Damani Baker, Robert W. Castle, Paul Lazar, Leigh Smiley, Jiggs Walker, Dan Olmstead, Charles Glenn, Jason Robards Jr., Anthony S. Calypso, Ysaye Maria Barnwell, Aisha Kahlil, Trazana Beverley, Carol Lynn Maillard, Cecelia Ann Birt, Dianne McIntyre, Grace Blake, Gaynielle Neville, Jordan Cael, Madeline Preston, Nitanju Bolade Casel, Matt Rochester, Edwidge Danticat, Millicent Sparks, Yanick Etienne, Lisa Summerour, Denise Gassant, Ophelia M. Turner, Frances Gray, Karen Vicks, Thelma Houston, Willarene Ward, Louise Johnson, Pauletta Pearson Washington, Jacqueline Celestin Fils-Aimé, Oumou Sangare, Hazel Fernadez, Len Berdick, Daniel Capellaro, Jahmal Curtis, Katy Dierlam, Brother Eden Douglas, Lionel Douglass, Belito Garcia, Stanley Glenn, Harold Gould, Frank Hartman, Faith Grace Johnson, Bonnie Loev, Nancy Marron-Asti, Nancy Marron-Asti, Warren Miller, Joey Perillo, Jimmy Joe Roche, Lauren Roselli, Edward Saxon, Cue Shepherd, Rema D. Webb, Ford Wheeler"
"Higher Learning","1995","John Singleton","John Singleton, Paul Hall","Ice Cube, Kristy Swanson, Omar Epps, Michael Rapaport, Tyra Banks, Jennifer Connelly, Laurence Fishburne, Jason Wiles, Busta Rhymes, Regina King, Cole Hauser, Andrew Bryniarski, Gwyneth Paltrow, Kari Wührer, Bradford English, Bridgette Wilson, Randall Batinkoff, Vitamin C, Alicia Stevenson, Antonio Lewis Todd, Morris Chestnut, Jay R. Ferguson, Trevor St. John, Talbert Morton, Adam Goldberg, J. Trevor Edmond, John Walton Smith Jr., Malcolm Norrington, Tim Griffin, Patricia Forte, Sheila L. Ward, George LePorte, Derrick I.M. Gilbert, Skip O'Brien, Joe Bugs, Bill Evans, Ernie Singleton, Dedrick D. Gobert, Bruce Williams, Richard D. Alexander, Michael B. Silver, Graham Galloway, Paul Kropfl, James W. Smith, Walton Green, Mary Bakjian, Mista Grimm, Robby Parker, Pola Maloles, Ingrid Walters, Kiante Elam, Jamie Jo Medearis, Rick Avery, Tony Donno, Cole McLarty, Sebastian Feldman, Melanna Gray, Maximilian A. Mastrangelo, Shawn Michael Perry, Ark Sano, Warren Olney IV, Rayder Woods"
"The Horse Whisperer","1998","Robert Redford","Robert Redford, Patrick Markey","Robert Redford, Kristin Scott Thomas, Scarlett Johansson, Kate Bosworth, Cherry Jones, Sam Neill, Dianne Wiest, Chris Cooper, Ty Hillman, Jeanette Nolan, Steve Frye, Don Edwards, Jessalyn Gilsig, William 'Buddy' Byrd"
"Rob Roy","1995","Michael Caton-Jones","Peter Broughan, Richard Jackson, Ted Field, Michael Caton-Jones","Liam Neeson, Jessica Lange, John Hurt, Tim Roth, Eric Stoltz, Brian Cox, Andrew Keir, Brian McCardie, Jason Flemyng, Shirley Henderson, Gilbert Martin, Vicki Masson, Gilly Gilchrist, Ewan Stewart, David Hayman, Brian McArthur, David Brooks Palmer, Myra McFadyen, Karen Matheson, John Murtagh, William Gardiner, Valentine Nwanze, Peter MacArthur, Richard Bonehill"
"White Palace","1990","Luis Mandoki","Griffin Dunne, Mark Rosenberg, Amy Robinson","Corey Parker, Eileen Brennan, Rachel Chagall, Barbara Howard, Steven Hill, Kathy Bates, Kim Myers, Jason Alexander, Mitzi McCall, Susan Sarandon, James Spader, Jonathan Penner, Jeremy Piven, Renée Taylor, Hildy Brooks, K.C. Carr"
"Monster's Ball","2001","Marc Forster","Lee Daniels","Billy Bob Thornton, Halle Berry, Heath Ledger, Peter Boyle, Sean Combs, Mos Def, Gabrielle Witcher, Marcus Lyle Brown, Amber Rules, Taylor Simpson, Anthony Bean, Milo Addica, Taylor LaGrange, Charles Cowan Jr., Coronji Calhoun, Francine Segal, John McConnell, Leah Loftin, Larry Lee, Troy Poret, Paul Smith, Marshall Cain, Will Rokos, Anthony Michael Frederick, John Wilmot, Dennis Clements, Stephanie Claire, James Haven, Ritchie Montgomery, Clara Hopkins Daniels, Carol Sutton, Bernard Johnson, Jeanette Kontomitras, Earl Maddox, T.J. Toups"
"Far and Away","1992","Ron Howard","Ron Howard, Brian Grazer, Todd Hallowell","Tom Cruise, Nicole Kidman, Thomas Gibson, Robert Prosky, Barbara Babcock, Clint Howard, Cyril Cusack, Colm Meaney, Eileen Pollock, Brendan Gleeson, Jared Harris, Douglas Gillison, Michelle Johnson, Wayne Grace, Niall Tóibín, Barry McGovern, Gary Lee Davis, Steven O'Donnell, Peadar Lamb, Mark Mulholland, P.J. Brady, Wesley Murphy, Jimmy Keogh, J. G. Devlin, Gerry Walsh, Brendan Cauldwell, Derry Power, Noel O'Donovan, Macdara Ó Fátharta, Eileen Colgan, Kate Flynn, Joan O'Hara, Frankie McCafferty, Poll Moussoulides, Pat Kinevane, Donncha Crowley, Tim McDonnell, Todd Hallowell, Kenneth McCluskey, Brendan Ellis, Jeffrey Andrews, Rynagh O'Grady, Martin Ewen, Frank Coughlan, Hoke Howell, Arnold Kuenning, Rocco Sisto, Michael Ruud, Donré Sampson, Harry Webster, Mark Wheeler, Rance Howard, William Preston, Pauline McLynn, Joanne McAteer, Elizabeth Kemler, Cara Wilder, Aedin Moloney, Helene Montague, John-Clay Scott, Clay M. Lilley, Cole S. McKay, James Jude Courtney, Jeff Ramsey, Anthony De Longis, Carl Ciarfalio, Tim Monich, Alecia LaRue, Ian Elliot, Bobby Huber, Julie Rowen, Louisa Marie, Brian Munn, Bob Dolman, Phillip V. Caruso, Tom Lucy, Jody Bradley, Michael Bush, James McDonald, Kris Murphy"
"Saved!","2004","Brian Dannelly","Michael Ohoven, Michael Stipe, William Vince, Sandy Stern","Jena Malone, Mandy Moore, Macaulay Culkin, Patrick Fugit, Eva Amurri, Martin Donovan, Mary-Louise Parker, Chad Faust, Heather Matarazzo, Elizabeth Thai, Donna White, Greg Kean, Kett Turton, Julia Arkos, Valerie Bertinelli, James Caldwell, Nicki Clyne, Aaron Douglas, Patricia Drake, Brent Fidler, Jay Hilliker, John Innes, Joe MacLeod, Althea McAdam, Thomas Plustwik, Syndie Skeeles, Susan Wilkey, Jay Hilliker"
"Sleepers","1996","Barry Levinson","Barry Levinson, Steve Golin","Kevin Bacon, Billy Crudup, Robert De Niro, Minnie Driver, Ron Eldard, Dustin Hoffman, Jason Patric, Brad Pitt, Jonathan Tucker, Vittorio Gassman, Bruno Kirby, Terry Kinney, Frank Medrano, Geoffrey Wigdor, Brad Renfro, Joseph Perrino, Aida Turturro, Jeffrey Donovan, John Slattery, Peter Appel, Joseph Attanasio, Gerry Becker, Casandra Brooks, William K. Butler, Eugene Byrd, Rose Caiola, Pasquale Cajano, Robert W. Castle, John Di Benedetto, Drew Eliot, Reuben Larry Elliot, George Georgiadis, Marco Greco, Saverio Guerra, Don Hewitt, Ben Hammer, Paul Herman, Frank Inzerillo, Lennie Loftin, Chuck Low, Peter Mahoney, Ruth Maleczech, Juan Maria Jr., Danny Mastrogiorgio, Mary B. McCann, Pat McNamara, Peter McRobbie, Conrad Meertins Jr., Gina Menza, Dash Mihok, Michael P. Moran, Rocco Musacchia, Mick O'Rourke, Carmine Parisi, James Pickens Jr., Wendell Pierce, Salvatore Paul Piro, Monica Polito, Angela Rago, Sean Patrick Reilly, Peter Rini, Larry Romano, Gayle Scott, Tom Signorelli, Henry Stram, Ralph Tabakin, Mary Testa, Jenique Torres, Patrick Tull, Joe Urla, Zachary Ansley, Michael J. Burg, Maria Deasy, Peter Gerety, Justin Halliwell, Michael Harkins, Matthew Hoffman, Billy Malone, James Rosin, Todo Segalla, Anthony Sinopoli, Barry Squitieri, Kevin Richard Sullivan, George Vincent"
"When a Man Loves a Woman","1994","Luis Mandoki","Jon Avnet","Andy García, Meg Ryan, Philip Seymour Hoffman, Tina Majorino, Lauren Tom, Gail Strickland, Mae Whitman, Ellen Burstyn, Susanna Thompson, Eugene Roche, Steven Brill"
"With Honors","1994","Alek Keshishian","Jon Peters, Paula Weinstein, Amy Robinson","Joe Pesci, Brendan Fraser, Moira Kelly, Patrick Dempsey, Josh Hamilton, Gore Vidal, Melinda Chilton, James Deuter"
"1969","1988","Ernest Thompson","Bill Badalato, Daniel Grodnik","Robert Downey Jr., Kiefer Sutherland, Winona Ryder, Mariette Hartley, Bruce Dern, Joanna Cassidy"
"Welcome Home, Roxy Carmichael","1990","Jim Abrahams","Penney Finkelman Cox","Winona Ryder, Jeff Daniels, Carla Gugino, Graham Beckel, Valerie Landsburg, John Short, Thomas Wilson Brown, Stephen Tobolowsky, Dinah Manoff, Frances Fisher, Micole Mercurio, Robin Thomas, Laila Robins, Robby Kiger, Joan McMurtrey"
"Boys Town","1938","Norman Taurog","John W. Considine Jr.","Henry Hull, Mickey Rooney, Spencer Tracy, Minor Watson, Jonathan Hale, Leslie Fenton, Gene Reynolds, Addison Richards, Bobs Watson, Martin Spellman, Mickey Rentschler, Frankie Thomas, Jimmy Butler, Sidney Miller, Robert Emmett Keane, Edward Norris, Victor Kilian, Arthur Aylesworth, King Baggot, Barbara Bedford, James Blaine, Stanley Blystone, Edwin Brian, Everett Brown, Orville Caldwell, Bennie Chorre, Roger Converse, George Cooper, Nell Craig, Helen Dickson, Wesley Giraud, Robert Gleckler, Donald Haines, John Hamilton, Murray Harris, Billy Hazard, Guy Edward Hearn, Al Hill Jr., Al Hill, Donald Hull, George Humbert, Gladden James, Raymond Kelly, Don Latorre, Billy McCullough, Claire McDowell, Jackie Morrow, Paul Nichols, Ray Nichols, Tommy Noonan, Jay Novello, Ronald Paige, Charles Ramos, Kane Richmond, Kent Rogers, Nelson Scott, Jimmy Sommerville, Bobby Stone, Chuck Stubbs, A.W. Sweatt, Phillip Terry, Johnny Walsh, Frank Whitbeck, Sonny Boy Williams, Robert Winkler, William Worthington, John Wray, Walter Young"
"Over the Edge","1979","Jonathan Kaplan","George Litto","Andy Romano, Matt Dillon, Michael Eric Kramer, Harry Northup, Ellen Geer, Vincent Spano, Tom Fergus, Julia Pomeroy, Pamela Ludwig"
"Mo' Better Blues","1990","Spike Lee","Spike Lee, Monty Ross","Denzel Washington, Wesley Snipes, Spike Lee, Giancarlo Esposito, Cynda Williams, Bill Nunn, Samuel L. Jackson, Robin Harris, Joie Lee, John Turturro, Dick Anthony Williams, Nicholas Turturro, Flavor Flav, Charlie Murphy, Rubén Blades, Jeff 'Tain' Watts, Leonard L. Thomas, Steve White, Abbey Lincoln, Linda Hawkins, Raye Dowell, Angela Hall, Coati Mundi, Zakee Howze, Zakee Howze, Deon Richmond, Raymond Anthony Thomas, Sheldon Turnipseed, Christopher Skeffrey, Terrence Williams, Darryl M. Wonge Jr., Jelani Asar Snipes, Glenn Williams III, Arnold Cromer, Leon Addison Brown, Scot Anthony Robinson, Herbert Daughtry, Bill Lee, Branford Marsalis, Doug E. Doug, Tracy Camilla Johns, John Canada Terrell, Monty Ross, Carol M. Wiggins, Isabella, Mamie Louise Anderson, Joe Seneca, John Sobestanovich, Anaysha Figueroa"
"Phenomenon","1996","Jon Turteltaub","Barbara Boyle, Michael Taylor","John Travolta, Kyra Sedgwick, Forest Whitaker, Robert Duvall, David Gallagher, Troy Evans, Richard Kiley, Tony Genaro, Brent Spiner, Ashley Buccille, Vyto Ruginis, Jeffrey DeMunn, Ellen Geer, Michael Forner, Mark Valim, Elisabeth Nunziato, Michael Milhoan, James Keane, Sean O'Bryan"
"Dead Bang","1989","John Frankenheimer","","Tim Reid, Bob Balaban, Don Johnson, Penelope Ann Miller, Michael Jeter, William Forsythe, William Traylor, Mickey Jones, Tate Donovan, Antoni Stutz, Frank Military, Ron Campbell, Hy Anzell, James B. Douglas, Brad Sullivan, Phyllis Guerrini, Darwyn Swalve, David H. 'Dutch' Van Dalsem, Ron Jeremy, Sam Scarber, Mic Rodgers, Tiger Haynes, Garwin Sanford, Lon Katzman, Daniel Quinn, Jarion Monroe, Ricardo Ascencio, William S. Taylor, Trudy Forbes, Michael Higgins, Evans Evans, Stephen E. Miller, Dawn Mortensen, Frank C. Turner, Lennard Camarillo, Jerry Beck, Valerie Pearson, Dominick Louis Clark, Billy Boyle, Justin Stillwell, Christine Cable, Maureen Thomas, Ron Carothers, Ernie Jackson, Juliana Carter, Stephanie Baldwin"
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean","1982","Robert Altman","Scott Bushnell","Sandy Dennis, Cher, Karen Black, Sudie Bond, Kathy Bates, Marta Heflin, Mark Patton, Caroline Aaron, Dianne Turley Travis, Ruth Miller"
"Sweet Dreams","1985","Karel Reisz","","Ed Harris, Jessica Lange, P. J. Soles, David Clennon, John Goodman, James Staley, Ann Wedgeworth, Gary Basaraba, Bruce Kirby"
"The Grifters","1990","Stephen Frears","Martin Scorsese, Robert A. Harris, Jim Painter, James Painten","John Cusack, Anjelica Huston, Annette Bening, Henry Jones, Eddie Jones, J. T. Walsh, Michael Laskin, Noelle Harling, Martin Scorsese, Jan Munroe, Robert Weems, Stephen Tobolowsky, Jimmy Noonan, Richard Holden, Sandy Baron, Lou Hancock, Gailard Sartain, Ivette Soler, Pat Hingle, Paul Adelstein, Jeremy Piven, Gregory Sporleder, David Sinaiko, Jeff Perry, Jon Gries, Micole Mercurio, Charles Napier, Teresa Gilmore, Elizabeth Ann Feeley, Billy Ray Sharkey, Frances Bay, Xander Berkeley, Steven Anderson, Fawn, John Gillespie, Lee Hollingsworth, Juliet Landau"
"Mr. & Mrs. Bridge","1990","James Ivory","Ismail Merchant","Paul Newman, Joanne Woodward, Blythe Danner, Kyra Sedgwick, Simon Callow, Robert Sean Leonard, Austin Pendleton, Gale Garnett, Remak Ramsay, Marcus Giamatti, Linden Ashby, Margaret Welsh, Saundra McClain, Robert Westenberg"
"Passion Fish","1992","John Sayles","Maggie Renzi, Sarah Green","Mary McDonnell, Alfre Woodard, Vondie Curtis-Hall, David Strathairn, Leo Burmester, Angela Bassett, Will Mahoney, Angela Bassett, John Sayles"
"Blue Sky","1994","Tony Richardson","Robert H. Solo","Jessica Lange, Tommy Lee Jones, Powers Boothe, Carrie Snodgress, Amy Locane, Chris O'Donnell, Timothy Bottoms, Timothy Scott, Dale Dye, Annie Ross, Matt Battaglia, Mitchell Ryan, Anthony Rene Jones, Jay H. Seidl, Ed Corbin, Gary Bullock, Anna Klemp, Edward Stanley"
"The Wild One","1953","László Benedek","Stanley Kramer","Marlon Brando, Lee Marvin, Jay C. Flippen, Mary Murphy, Robert Keith, Will Wright, Robert Osterloh, William Vedder, Hugh Sanders, Ray Teal"
"Suddenly","1954","Lewis Allen","Robert Bassler","Frank Sinatra, Sterling Hayden, James Gleason, Nancy Gates, Kim Charney, Willis Bouchey, Paul Frees, James O'Hara, Christopher Dark, Paul Wexler, Kem Dibbs, Clark Howat, Charles Smith, John Beradino, Richard Collier, Roy Engel, Ted Stanhope, Charles Wagenheim, Dan White"
"The Private Lives of Elizabeth and Essex","1939","Michael Curtiz","Hal B. Wallis, Robert Lord","Errol Flynn, Bette Davis, Olivia de Havilland, James Stephenson, Henry Stephenson, Nanette Fabray, Ralph Forbes, Robert Warwick, Alan Hale Sr., Henry Daniell, Donald Crisp, Leo G. Carroll, Vincent Price"
"Promised Land","1987","Michael Hoffman","","Jason Gedrick, Kiefer Sutherland, Meg Ryan, Tracy Pollan, Deborah Richter, Jay Underwood, Herta Ware, Sandra Seacat, Oscar Rowland, Googy Gress, Walt Logan Field, Kelly Ausland, Kelly Ausland, Todd Anderson, Dave Valenza, Theron Read, Richard Matthews, Cindy Clark, Charles Black, Tony Kruletz, Jim S. Cash, Matthew Karas, David Jensen, Michael Ruud, Victoria Holloway, Herb McGarvey, Don Steffey, Spence Ashby, Fenton Quinn, L.L. West, John Garrison, Deborah Green, Dorothy Conrad, Gae P. Cowley, Lisa MacFarlane, Joseph Yeates, Gene Pack, Grant Gottschall, Adam Christensen, Shane Perry, Greg Weichers, Bob Bedore, Troy Bench, Tom Thornquest, Zeke Totland, Jeff Lindsay"
